Image,Algorithm,Time (s),$rank(\ml)$,$\|\ms\|_0$,$\|\ml\|_{*}$
0,ADMM r0,322.6,191.7,57822.7,206.2
0,ADMM r1,330.4,192.0,57822.7,206.4
0,ADMM r2,325.9,198.0,57822.7,239.7
0,SVT,36.3,8.7,116500.0,178.0
0,PMF,2.0,10.0,116500.0,164.1
0,BPMF,2.0,12.0,116500.0,180.7
0,CNTK,340.7,192.0,43120.0,181.4
0,CNTK EigenPro,69.1,192.0,43120.0,180.0
1,ADMM r0,263.3,196.7,53239.3,262.9
1,ADMM r1,266.2,200.0,53239.3,263.7
1,ADMM r2,261.0,205.0,53239.3,269.6
1,SVT,297.5,58.7,111000.0,208.4
1,PMF,1.8,10.0,111000.0,120.6
1,BPMF,1.9,12.0,111000.0,131.3
1,CNTK,340.7,192.0,36756.0,238.2
1,CNTK EigenPro,69.1,192.0,36755.7,225.8
2,ADMM r0,261.5,200.7,50828.0,282.4
2,ADMM r1,263.2,204.0,50828.0,283.7
2,ADMM r2,262.5,208.0,50828.0,286.6
2,SVT,730.6,83.3,111000.0,210.7
2,PMF,1.9,10.0,111000.0,80.4
2,BPMF,1.9,12.0,111000.0,95.2
2,CNTK,340.7,192.0,36746.0,253.3
2,CNTK EigenPro,69.1,192.0,36746.0,236.3
