,Algorithm,Time (s),$rank(\ml)$,$\|\ms\|_0$,$\|\ml\|_{*}$
0,PCA_r0,0.4,1.0,116500.0,398.6
0,PCA_r1,0.3,2.0,116500.0,398.1
0,PCA_r2,0.3,3.0,116500.0,408.5
0,PCA_r3,0.3,5.0,116500.0,428.2
0,PCA_r4,0.3,10.0,116500.0,476.6
0,PCA_r5,0.3,50.0,116500.0,679.1
1,PCA_r0,0.3,1.0,111000.0,570.8
1,PCA_r1,0.3,2.0,111000.0,486.9
1,PCA_r2,0.3,3.0,111000.0,478.5
1,PCA_r3,0.3,5.0,111000.0,475.1
1,PCA_r4,0.3,10.0,111000.0,498.5
1,PCA_r5,0.3,50.0,111000.0,679.6
2,PCA_r0,0.3,1.0,111000.0,514.5
2,PCA_r1,0.3,2.0,111000.0,501.9
2,PCA_r2,0.3,3.0,111000.0,496.9
2,PCA_r3,0.3,5.0,111000.0,502.6
2,PCA_r4,0.3,10.0,111000.0,528.8
2,PCA_r5,0.3,50.0,111000.0,717.7
