Image,Algorithm,Time (s),$rank(\ml)$,$\|\ms\|_0$,$\|\ml\|_{*}$
0,ALM r0,330.7,136.3,73402.3,333.2
0,ALM r1,329.4,141.0,72262.0,335.3
0,ALM r2,327.6,184.0,51798.0,385.6
0,APG,328.0,135.7,73546.7,333.1
0,SVT r0,322.8,4.0,6249.3,303.3
0,SVT r1,327.1,14.7,10840.3,313.5
0,SVT r2,325.6,27.7,16095.7,320.0
0,CGD r0,535.9,250.0,116500.0,333.2
0,CGD r1,534.2,250.0,116500.0,333.3
0,CGD r2,537.1,250.0,116500.0,333.5
0,CGD Adam,532.9,250.0,116500.0,347.9
1,ALM r0,260.1,140.0,72664.0,388.1
1,ALM r1,263.1,207.0,51589.3,425.6
1,ALM r2,266.7,248.0,26648.7,533.6
1,APG,262.4,141.7,73975.7,388.1
1,SVT r0,261.9,28.3,20876.3,335.5
1,SVT r1,263.6,63.7,38295.0,367.9
1,SVT r2,265.8,85.7,48169.7,378.1
1,CGD r0,463.2,250.0,111000.0,388.2
1,CGD r1,464.9,250.0,111000.0,388.4
1,CGD r2,466.6,250.0,111000.0,388.6
1,CGD Adam,468.0,250.0,111000.0,404.4
2,ALM r0,261.9,141.7,72063.3,374.4
2,ALM r1,261.2,232.3,40029.3,462.0
2,ALM r2,268.4,250.0,19075.7,608.6
2,APG,266.9,141.7,74387.0,373.5
2,SVT r0,265.1,33.7,23243.7,331.7
2,SVT r1,263.1,58.7,36326.7,355.5
2,SVT r2,262.7,76.0,43697.3,363.4
2,CGD r0,463.7,250.0,111000.0,373.7
2,CGD r1,465.7,250.0,111000.0,373.9
2,CGD r2,466.2,250.0,111000.0,374.1
2,CGD Adam,470.6,250.0,111000.0,395.3
